original,renamed,unity_source,description,category
_6421,lowFreqParams,float4(_CloudDensity),Low frequency noise params,Noise Sampling
_7260,highFreqParams,float4(_CloudCoverage),High frequency noise params,Noise Sampling
_15547,noiseBlendParam,float4(_AnimationSpeed),Noise blend parameter,Noise Sampling
_24109,baseNoiseProcessed,lerp(lerp(low high noise) lerp(0.25 -1.5 noise) blend),Processed base noise,Noise Sampling
_11087,baseNoiseCombined,(processed.x + processed.y * 0.95) * 4.6,Combined base noise intensity,Noise Sampling
_17262,noiseSampleX,sample with right offset,Noise sample for X gradient,Noise Sampling
_19777,processedNoiseX,processed X gradient,Processed noise X,Noise Sampling
_17263,noiseSampleY,sample with up offset,Noise sample for Y gradient,Noise Sampling
_19778,processedNoiseY,processed Y gradient,Processed noise Y,Noise Sampling
_20360,normalGradStep,0.8 / _BaseNoiseScale,Normal gradient step size,Normal Calculation
_6512,noiseNormal,normalize(float3(base-Y.combined base-X.combined gradStep)),Noise-derived normal,Normal Calculation
_21989,viewTransform,transpose of view matrix,Transposed view matrix,Transform
_16360,centeredPosZ,volumeCenteredPos.z,Centered position Z,Detail Noise
_20799,detailNoiseCoord,noiseCoord + viewSpaceOffset + zOffset,Detail noise coordinate,Detail Noise
_19464,detailScaledCoord,detailNoiseCoord * _DetailNoiseScale,Scaled detail coordinate,Detail Noise
_11130,detailNoiseSample,sample at detail coord,Detail noise sample,Detail Noise
_19779,detailNoiseProcessed,processed detail noise,Processed detail noise,Detail Noise
_11089,detailNoiseCombined,(processed.x + processed.y * 0.95) * 4.6,Combined detail noise,Detail Noise
_17264,detailSampleX,sample with right offset,Detail sample X gradient,Detail Noise
_19780,detailProcessedX,processed X,Detail processed X,Detail Noise
_17265,detailSampleY,sample with up offset,Detail sample Y gradient,Detail Noise
_19781,detailProcessedY,processed Y,Detail processed Y,Detail Noise
_17671,depthFade,_ScatteringCoeff * (dot(ray forward) * dist),Depth-based fade factor,Lighting
_13150,combinedNoise,lerp(0.95 base noise1) + lerp(0.95 detail depthFade*0.25) + ambient,Combined noise factor,Lighting
_11621,heightFade,density after height shaping,Density with height fade,Density Shaping
_14675,heightParam,clamp(volumeFadeParams.w 0.0001 0.9999),Clamped height parameter,Density Shaping
_8419,fadeStart,smoothstep(0 0.8 heightParam),Height fade start,Density Shaping
_14551,fadeEnd,smoothstep(0.2 1.0 heightParam),Height fade end,Density Shaping
_12502,heightFadeResult,result of height fade,Height fade result,Density Shaping
_23051,heightTestPos,vertically scaled centered pos,Height test position,Density Shaping
_13439,stepDensity,lerp(heightFade - (1-noise) heightFade + noise heightFade) * scale,Final step density,Density Shaping
_21940,baseNormalDir,normalize(volumeCenteredPos) * shadowMix,Base normal direction,Color Calculation
_13055,normalTransform,viewTransform * combined normal,Transformed normal,Color Calculation
_19632,viewSpaceNormal,normalTransform.xyz,View space normal,Color Calculation
_16793,scatterUVW,clamped scatter lookup coord,Color scatter LUT UVW,Color Calculation
_13568,scatterColor,_ColorLUT3D.SampleLevel(scatterUVW),Color LUT sample,Color Calculation
_15561,sunDot,dot(phaseNormal sunDirection),Sun direction dot product,Lighting Calculation
_8123,phaseFunction,pow(forward) + pow(back),Combined phase function,Lighting Calculation
_11275,sunScattering,phaseFunction * scatterColor.w,Modulated sunlight,Lighting Calculation
_16847,scatterR,scatterColor.x,Scatter color red channel,HSV Conversion
_15573,scatterG,scatterColor.y,Scatter color green channel,HSV Conversion
_21520,scatterB,scatterColor.z,Scatter color blue channel,HSV Conversion
_16613,maxRGB,max(R max(G B)),Maximum RGB component,HSV Conversion
_12972,colorRange,maxRGB - min(R min(G B)),Color range (chroma),HSV Conversion
_6553,hsvTemp,temporary HSV,HSV temporary vector,HSV Conversion
_20310,hsvColor,HSV representation,HSV color,HSV Conversion
_20364,saturation,colorRange / maxRGB,Color saturation,HSV Conversion
_18850,chromaDelta,(V - RGB) / range,Chroma delta for hue,HSV Conversion
_18380,hueComponents,hue calculation,Hue components,HSV Conversion
_10889,hueOffset,offset for hue,Hue offset values,HSV Conversion
_20309,hsvResult,HSV calculation result,HSV result,HSV Conversion
_12503,hsvBranch1,HSV branch 1,HSV branch result 1,HSV Conversion
_11027,hsvFinal,fract(hue/6) saturation value,Final HSV,HSV Conversion
_20352,adjustedSat,clamp(saturation * 1.1),Adjusted saturation,RGB Conversion
_14327,finalRGB,RGB from HSV,Final RGB color,RGB Conversion
_23216,hueAngle6,hue * 6.0,Hue angle times 6,RGB Conversion
_10653,hueFloor,floor(hueAngle6),Floor of hue angle,RGB Conversion
_19977,rgbDesaturated,value * (1 - sat),Desaturated RGB component,RGB Conversion
_17993,hueFraction,hueAngle6 - floor,Fractional hue,RGB Conversion
_10560,rgbInterp1,value * (1 - sat*frac),RGB interpolation 1,RGB Conversion
_23319,rgbInterp2,value * (1 - sat*(1-frac)),RGB interpolation 2,RGB Conversion
_12508,rgbFromHsv,RGB from hue sector,RGB from HSV,RGB Conversion
_12507,rgbBranch1,RGB branch 1,RGB branch 1,RGB Conversion
_12506,rgbBranch2,RGB branch 2,RGB branch 2,RGB Conversion
_12505,rgbBranch3,RGB branch 3,RGB branch 3,RGB Conversion
_12504,rgbBranch4,RGB branch 4,RGB branch 4,RGB Conversion
_24091,litColor,base lit color,Base lit color before tint,Final Color
_23772,volumeTintedColor,litColor * volumeTintColor,Volume-tinted color,Final Color
_16436,desaturatedColor,lerp to preserve luminance,Desaturated/preserved color,Final Color
_21313,shadowedColor,color * shadowMultiplier,Shadowed color,Final Color
_22660,fogAmount,smoothstep fog calculation,Fog/godray contribution,Final Compositing
_17656,stepAlpha,smoothstep alpha calculation,Step alpha contribution,Final Compositing
_22501,stepContribution,float4(shadowed*alpha alpha),Color contribution for step,Accumulation
_13152,sunAccumLoop,sunlight accumulation in loop,Sunlight integration loop,Accumulation Loop
_16311,colorAccumLoop,color accumulation in loop,Color integration loop,Accumulation Loop
_17022,sampleWeight,_BaseStepSize * 0.375,Sample weight for accumulation,Accumulation Loop
_17137,fogAccumLoop,fog accumulation in loop,Fog integration loop,Accumulation Loop
_11921,sunUpdated,sunAccum + sun,Updated sunlight,Accumulation Loop
_19916,colorUpdated,colorAccum + contrib,Updated color,Accumulation Loop
_23566,fogUpdated,fogAccum + fog,Updated fog,Accumulation Loop
_25059,weightDecrement,sampleWeight - 1.0,Weight decrement,Accumulation Loop
_21167,shouldRecordHit,hasValidSample && !hadPreviousSample,Should record first hit,Hit Recording
_14400,firstHitUpdate,mix(old currentMarchPos shouldRecord),First hit position update,Hit Recording
_23482,colorClamped,stepColor with w=1.0,Color with alpha clamped,Hit Recording
_13174,sp2LastHit,second pass last hit,Second pass last hit,Second Pass
_16326,sp2FirstHit,second pass first hit,Second pass first hit,Second Pass
_16483,sp2Color,second pass color,Second pass color,Second Pass
_17190,sp2Sunlight,second pass sunlight,Second pass sunlight,Second Pass
_17191,sp2Godray,second pass godray,Second pass godray,Second Pass
_13238,sp2StartT,currentRayDistance - baseStepDistance,Second pass start t,Second Pass
_21812,sp2StartPos,marchStartPos + rayDir * totalDist,Second pass start position,Second Pass
_13244,sp2RayLength,totalRayDistance - sp2StartT,Second pass ray length,Second Pass
_17023,sp2CurrentPos,second pass position tracker,Second pass current position,Second Pass Loop
_17163,sp2ColorAccum,second pass color accumulation,Second pass color accum,Second Pass Loop
_17165,sp2TracerDir,second pass tracer direction,Second pass tracer dir,Second Pass Loop
_8899,sp2VolumeIdxNext,volume index + 1,Second pass volume idx next,Second Pass Loop
_13172,sp2HadPrevSample,had previous sample,Second pass had sample flag,Second Pass Loop
_13173,sp2LastHitTemp,temp last hit,Second pass last hit temp,Second Pass Loop
_14892,sp2TracerBits,tracer bits,Second pass tracer bits,Second Pass Loop
_16323,sp2Sunlight,sunlight,Second pass sunlight,Second Pass Loop
_16325,sp2FirstHitResult,first hit result,Second pass first hit result,Second Pass Loop
_16865,sp2EarlyExit,early exit flag,Second pass early exit,Second Pass Loop
_17180,sp2Godray,godray,Second pass godray,Second Pass Loop
_17181,sp2ColorResult,color result,Second pass color result,Second Pass Loop
_17182,sp2TracerGlow,tracer glow,Second pass tracer glow,Second Pass Loop
_17183,sp2TracerDirResult,tracer dir result,Second pass tracer dir result,Second Pass Loop
_17184,sp2CavityStr,cavity strength,Second pass cavity strength,Second Pass Loop
_17185,sp2SunlightOut,sunlight output,Second pass sunlight out,Second Pass Loop
_17188,sp2GodrayOut,godray output,Second pass godray out,Second Pass Loop
_17189,sp2ColorOut,color output,Second pass color out,Second Pass Loop
_18363,sp2PosOut,position output,Second pass position out,Second Pass Loop
_13157,sp2HadSampleState,had sample state,Second pass had sample state,Second Pass State
_16316,sp2SunAccum,sunlight accumulation,Second pass sun accumulation,Second Pass State
_17161,sp2FogAccum,fog accumulation,Second pass fog accumulation,Second Pass State
_17164,sp2CachedGlow,cached glow,Second pass cached glow,Second Pass State
_17166,sp2CachedCavity,cached cavity,Second pass cached cavity,Second Pass State
_17168,sp2CachedBits,cached bits,Second pass cached bits,Second Pass State
_17169,sp2VolumeIdx,volume check index,Second pass volume index,Second Pass State
_7958_ladder_break,sp2LoopBreak,loop break flag,Second pass loop break,Control Flow
_7689,sp2TracerDir,tracer direction,Second pass tracer direction,Second Pass Tracer
_13160,sp2TracerCache,tracer cache,Second pass tracer cache,Second Pass Tracer
_13620,sp2CavityStr,cavity strength,Second pass cavity strength,Second Pass Tracer
_16318,sp2TracerGlow,tracer glow,Second pass tracer glow,Second Pass Tracer
_12886,sp2SkipTracer,skip tracer check,Second pass skip tracer,Second Pass Tracer
_13158,sp2GlowLoop,glow in loop,Second pass glow loop,Second Pass Tracer
_16317,sp2DirLoop,direction in loop,Second pass direction loop,Second Pass Tracer
_17170,sp2CavityLoop,cavity in loop,Second pass cavity loop,Second Pass Tracer
_8088,sp2TracerIdxNext,tracer index + 1,Second pass tracer index next,Second Pass Tracer
_13159,sp2DirResult,direction result,Second pass direction result,Second Pass Tracer
_13190,sp2CavityResult,cavity result,Second pass cavity result,Second Pass Tracer
_14383,sp2GlowResult,glow result,Second pass glow result,Second Pass Tracer
_17024,sp2TracerLoopIdx,tracer loop index,Second pass tracer loop index,Second Pass Tracer
_21555,sp2TracerLineDir,tracer line direction,Second pass tracer line dir,Second Pass Tracer
_14637,sp2PosToTracer,position to tracer,Second pass pos to tracer,Second Pass Tracer
_19449,sp2DistToLine,distance to line,Second pass dist to line,Second Pass Tracer
_14627,sp2TracerFade,tracer fade,Second pass tracer fade,Second Pass Tracer
_6224,sp2SpotGlow,spot glow effect,Second pass spot glow,Second Pass Tracer
_18732,sp2WindInfluence,wind influence,Second pass wind influence,Second Pass Tracer
_10369,sp2PointGlow,point glow effect,Second pass point glow,Second Pass Tracer
_25082,sp2VolumeId,volume ID,Second pass volume ID,Second Pass Volume
_10670,sp2HasDensity,has density flag,Second pass has density,Second Pass Volume
_13171,sp2SampleSun,sample sunlight,Second pass sample sunlight,Second Pass Volume
_13638,sp2SampleColor,sample color,Second pass sample color,Second Pass Volume
_16322,sp2SampleGodray,sample godray,Second pass sample godray,Second Pass Volume
_25172,sp2OffsetPos,offset sample position,Second pass offset position,Second Pass Volume
_22667,sp2VolumeIdxInt,volume index as int,Second pass volume idx int,Second Pass Volume
_14659,sp2LocalPos,local position,Second pass local position,Second Pass Volume
_21496,sp2VolumeUVW,volume UVW,Second pass volume UVW,Second Pass Volume
_14093,sp2DensityPageIdx,density page index,Second pass density page idx,Second Pass Volume
_24256,sp2UOffset,U offset,Second pass U offset,Second Pass Volume
_11488,sp2DensitySample,density sample,Second pass density sample,Second Pass Volume
_7715,sp2DensityChannels,density channels,Second pass density channels,Second Pass Volume
_20594,sp2DensityMin,density minimum,Second pass density min,Second Pass Volume
_6735,sp2DensityMax,density maximum,Second pass density max,Second Pass Volume
_13161,sp2DensityVec4,density vec4,Second pass density vec4,Second Pass Volume
_8284,sp2DistToEnd,distance to end,Second pass dist to end,Second Pass Volume
_18057,sp2AdjustedDens,adjusted density,Second pass adjusted density,Second Pass Volume
_11249,sp2DensityBlend,density blend,Second pass density blend,Second Pass Volume
_6666,sp2CavityDens,cavity density,Second pass cavity density,Second Pass Density
_17821,sp2OcclusionDist,occlusion distance,Second pass occlusion dist,Second Pass Density
_20846,sp2DensMult,density multiplier,Second pass density multiplier,Second Pass Density
_22282,sp2ScaledDens,scaled density,Second pass scaled density,Second Pass Density
_6617,sp2ShadowTestPos,shadow test position,Second pass shadow test pos,Second Pass Density
_13166,sp2ShadowMult,shadow multiplier,Second pass shadow multiplier,Second Pass Dissipation
_13695,sp2EffectiveDens,effective density,Second pass effective density,Second Pass Density
_16320,sp2ShadowAmount,shadow amount,Second pass shadow amount,Second Pass Dissipation
_13162,sp2DissipLoopPos,dissipation loop pos,Second pass dissipation pos,Second Pass Dissipation
_16319,sp2DissipAccum,dissipation accum,Second pass dissipation accum,Second Pass Dissipation
_17173,sp2DissipScale,dissipation scale,Second pass dissipation scale,Second Pass Dissipation
_8898,sp2DissipIdxNext,dissipation index next,Second pass dissip idx next,Second Pass Dissipation
_13165,sp2DissipPosRes,dissipation pos result,Second pass dissip pos result,Second Pass Dissipation
_14084,sp2DissipScaleRes,dissipation scale result,Second pass dissip scale result,Second Pass Dissipation
_18362,sp2DissipAccumRes,dissipation accum result,Second pass dissip accum result,Second Pass Dissipation
_17025,sp2DissipLoopIdx,dissipation loop index,Second pass dissip loop idx,Second Pass Dissipation
_7959_ladder_break,sp2DissipBreak,dissipation break,Second pass dissip break,Control Flow
_10811,sp2DissipAge,dissipation age,Second pass dissipation age,Second Pass Dissipation
_13164,sp2DissipPosInt,dissipation pos interim,Second pass dissip pos int,Second Pass Dissipation
_16384,sp2DissipScaleInt,dissipation scale interim,Second pass dissip scale int,Second Pass Dissipation
_16482,sp2DissipEffectInt,dissipation effect interim,Second pass dissip effect int,Second Pass Dissipation
_13669,sp2DistToDissip,distance to dissip point,Second pass dist to dissip,Second Pass Dissipation
_13163,sp2DissipPosInner,dissipation pos inner,Second pass dissip pos inner,Second Pass Dissipation
_16383,sp2DissipScaleInner,dissipation scale inner,Second pass dissip scale inner,Second Pass Dissipation
_16481,sp2DissipEffectInner,dissipation effect inner,Second pass dissip effect inner,Second Pass Dissipation
_16614,sp2DissipPulse,dissipation pulse,Second pass dissipation pulse,Second Pass Dissipation
_13561,sp2SurfaceProx,surface proximity,Second pass surface proximity,Second Pass Dissipation
_20018,sp2AnimTime,animation time,Second pass animation time,Second Pass Noise
_11676,sp2CenteredPos,centered position,Second pass centered pos,Second Pass Noise
_11773,sp2NoiseCoord,noise coordinate,Second pass noise coord,Second Pass Noise
_11477,sp2NoiseZ,noise Z,Second pass noise Z,Second Pass Noise
_9119,sp2RotAngle1,rotation angle 1,Second pass rot angle 1,Second Pass Noise
_7388,sp2RotOffset,rotation offset,Second pass rot offset,Second Pass Noise
_17176,sp2SinRot,sine rotation,Second pass sin rot,Second Pass Noise
_17392,sp2CosRot,cosine rotation,Second pass cos rot,Second Pass Noise
_23933,sp2RotatedXY,rotated XY,Second pass rotated XY,Second Pass Noise
_16177,sp2RotatedX,rotated X,Second pass rotated X,Second Pass Noise
_21584,sp2NoisePosTemp,noise position temp,Second pass noise pos temp,Second Pass Noise
_6689,sp2RotatedY,rotated Y,Second pass rotated Y,Second Pass Noise
_14460,sp2WaveTime,wave time,Second pass wave time,Second Pass Noise
_24075,sp2WaveOffset,wave offset,Second pass wave offset,Second Pass Noise
_10134,sp2PerturbedX,perturbed X,Second pass perturbed X,Second Pass Noise
_10753,sp2PerturbedZ,perturbed Z,Second pass perturbed Z,Second Pass Noise
_22426,sp2NoisePosPerturbed,perturbed noise position,Second pass noise pos perturbed,Second Pass Noise
_8651,sp2FinalNoiseZ,final noise Z,Second pass final noise Z,Second Pass Noise
_10825,sp2BaseNoiseCoord,base noise coordinate,Second pass base noise coord,Second Pass Noise
_9986,sp2TimeOffset3D,3D time offset,Second pass time offset 3D,Second Pass Noise
_13917,sp2RightOffset,camera right offset,Second pass right offset,Second Pass Noise
_13918,sp2UpOffset,camera up offset,Second pass up offset,Second Pass Noise
_16434,sp2NoisePowerVec,noise power vector,Second pass noise power vec,Second Pass Noise
_21178,sp2RawNoiseSample,raw noise sample,Second pass raw noise sample,Second Pass Noise
_6422,sp2LowFreqParams,low frequency params,Second pass low freq params,Second Pass Noise
_7261,sp2HighFreqParams,high frequency params,Second pass high freq params,Second Pass Noise
_15548,sp2NoiseBlend,noise blend,Second pass noise blend,Second Pass Noise
_24110,sp2NoiseProcessed,processed noise,Second pass noise processed,Second Pass Noise
_11091,sp2BaseNoiseCombined,combined base noise,Second pass base noise combined,Second Pass Noise
_17266,sp2NoiseSampleX,noise sample X,Second pass noise sample X,Second Pass Noise
_19782,sp2ProcessedX,processed X,Second pass processed X,Second Pass Noise
_17267,sp2NoiseSampleY,noise sample Y,Second pass noise sample Y,Second Pass Noise
_19783,sp2ProcessedY,processed Y,Second pass processed Y,Second Pass Noise
_20361,sp2GradStep,gradient step,Second pass gradient step,Second Pass Normal
_6513,sp2NoiseNormal,noise normal,Second pass noise normal,Second Pass Normal
_21990,sp2ViewTransform,view transform,Second pass view transform,Second Pass Normal
_16361,sp2CenteredPosZ,centered position Z,Second pass centered pos Z,Second Pass Detail
_20801,sp2DetailCoord,detail coordinate,Second pass detail coord,Second Pass Detail
_19465,sp2DetailScaled,detail scaled,Second pass detail scaled,Second Pass Detail
_11131,sp2DetailSample,detail sample,Second pass detail sample,Second Pass Detail
_19784,sp2DetailProcessed,detail processed,Second pass detail processed,Second Pass Detail
_11093,sp2DetailCombined,detail combined,Second pass detail combined,Second Pass Detail
_17268,sp2DetailSampleX,detail sample X,Second pass detail sample X,Second Pass Detail
_19785,sp2DetailProcessedX,detail processed X,Second pass detail processed X,Second Pass Detail
_17269,sp2DetailSampleY,detail sample Y,Second pass detail sample Y,Second Pass Detail
_19786,sp2DetailProcessedY,detail processed Y,Second pass detail processed Y,Second Pass Detail
_17672,sp2DepthFade,depth fade,Second pass depth fade,Second Pass Lighting
_13168,sp2CombinedNoise,combined noise,Second pass combined noise,Second Pass Lighting
_11622,sp2HeightFade,height fade,Second pass height fade,Second Pass Shaping
_14676,sp2HeightParam,height parameter,Second pass height param,Second Pass Shaping
_8420,sp2FadeStart,fade start,Second pass fade start,Second Pass Shaping
_14552,sp2FadeEnd,fade end,Second pass fade end,Second Pass Shaping
_12510,sp2HeightFadeResult,height fade result,Second pass height fade result,Second Pass Shaping
_23052,sp2HeightTestPos,height test position,Second pass height test pos,Second Pass Shaping
_13440,sp2StepDensity,step density,Second pass step density,Second Pass Shaping
_21941,sp2BaseNormalDir,base normal direction,Second pass base normal dir,Second Pass Color
_13056,sp2NormalTransform,normal transform,Second pass normal transform,Second Pass Color
_19633,sp2ViewSpaceNormal,view space normal,Second pass view space normal,Second Pass Color
_16794,sp2ScatterUVW,scatter UVW,Second pass scatter UVW,Second Pass Color
_13570,sp2ScatterColor,scatter color,Second pass scatter color,Second Pass Color
_15562,sp2SunDot,sun dot product,Second pass sun dot,Second Pass Lighting
_8124,sp2Phase,phase function,Second pass phase,Second Pass Lighting
_11276,sp2Sunlight,sunlight,Second pass sunlight,Second Pass Lighting
_16848,sp2ScatterR,scatter red,Second pass scatter R,Second Pass HSV
_15575,sp2ScatterG,scatter green,Second pass scatter G,Second Pass HSV
_21521,sp2ScatterB,scatter blue,Second pass scatter B,Second Pass HSV
_16616,sp2MaxRGB,max RGB,Second pass max RGB,Second Pass HSV
_12973,sp2ColorRange,color range,Second pass color range,Second Pass HSV
_6554,sp2HSVTemp,HSV temporary,Second pass HSV temp,Second Pass HSV
_20312,sp2HSVColor,HSV color,Second pass HSV color,Second Pass HSV
_20365,sp2Saturation,saturation,Second pass saturation,Second Pass HSV
_18851,sp2ChromaDelta,chroma delta,Second pass chroma delta,Second Pass HSV
_18381,sp2HueComponents,hue components,Second pass hue components,Second Pass HSV
_10890,sp2HueOffset,hue offset,Second pass hue offset,Second Pass HSV
_20311,sp2HSVResult,HSV result,Second pass HSV result,Second Pass HSV
_12511,sp2HSVBranch,HSV branch,Second pass HSV branch,Second Pass HSV
_11028,sp2HSVFinal,HSV final,Second pass HSV final,Second Pass HSV
_20353,sp2AdjustedSat,adjusted saturation,Second pass adjusted sat,Second Pass RGB
_14328,sp2FinalRGB,final RGB,Second pass final RGB,Second Pass RGB
_23217,sp2HueAngle6,hue angle times 6,Second pass hue angle 6,Second Pass RGB
_10654,sp2HueFloor,hue floor,Second pass hue floor,Second Pass RGB
_19983,sp2RGBDesat,RGB desaturated,Second pass RGB desat,Second Pass RGB
_17997,sp2HueFraction,hue fraction,Second pass hue fraction,Second Pass RGB
_10563,sp2RGBInterp1,RGB interpolation 1,Second pass RGB interp 1,Second Pass RGB
_23320,sp2RGBInterp2,RGB interpolation 2,Second pass RGB interp 2,Second Pass RGB
_12516,sp2RGBFromHSV,RGB from HSV,Second pass RGB from HSV,Second Pass RGB
_12515,sp2RGBBranch1,RGB branch 1,Second pass RGB branch 1,Second Pass RGB
_12514,sp2RGBBranch2,RGB branch 2,Second pass RGB branch 2,Second Pass RGB
_12513,sp2RGBBranch3,RGB branch 3,Second pass RGB branch 3,Second Pass RGB
_12512,sp2RGBBranch4,RGB branch 4,Second pass RGB branch 4,Second Pass RGB
_24094,sp2LitColor,lit color,Second pass lit color,Second Pass Final
_23773,sp2TintedColor,tinted color,Second pass tinted color,Second Pass Final
_16437,sp2DesaturatedColor,desaturated color,Second pass desaturated color,Second Pass Final
_21314,sp2ShadowedColor,shadowed color,Second pass shadowed color,Second Pass Final
_22661,sp2FogAmount,fog amount,Second pass fog amount,Second Pass Compositing
_17657,sp2StepAlpha,step alpha,Second pass step alpha,Second Pass Compositing
_22502,sp2StepContribution,step contribution,Second pass step contribution,Second Pass Accumulation
_13170,sp2SunAccumLoop,sunlight accumulation loop,Second pass sun accum loop,Second Pass Accumulation
_16321,sp2ColorAccumLoop,color accumulation loop,Second pass color accum loop,Second Pass Accumulation
_17026,sp2SampleWeight,sample weight,Second pass sample weight,Second Pass Accumulation
_17178,sp2FogAccumLoop,fog accumulation loop,Second pass fog accum loop,Second Pass Accumulation
_11922,sp2SunUpdated,sunlight updated,Second pass sun updated,Second Pass Accumulation
_19917,sp2ColorUpdated,color updated,Second pass color updated,Second Pass Accumulation
_23567,sp2FogUpdated,fog updated,Second pass fog updated,Second Pass Accumulation
_25060,sp2WeightDecrement,weight decrement,Second pass weight decrement,Second Pass Accumulation
_21169,sp2ShouldRecordHit,should record hit,Second pass should record hit,Second Pass Hit
_14401,sp2FirstHitUpdate,first hit update,Second pass first hit update,Second Pass Hit
_23483,sp2ColorClamped,color clamped,Second pass color clamped,Second Pass Hit
_23125,sunRimDot,pow(dot(normalize(rayDir) sunDir) 4.0) * 0.25,Sun rim lighting dot,Final Compositing
_19877,foggedDensity,clamp(godrayAccum - (color.w * 0.2)),Godray darkening factor,Final Compositing
_19214,preRimColor,color before rim lighting,Color before rim lighting,Final Compositing
_22768,rimEnhancedColor,color * (1.0 + sunBloom),Rim-enhanced color,Final Compositing
_23714,finalOutputColor,final output with rim,Final output color with rim,Final Output
_7321,finalAlpha,finalAlpha = preRimColor.w,Final transmittance/alpha,Final Output
_13311,logDepthRange,logDepthFar - logDepthNear,Logarithmic depth range,Depth Calculation
_9068,logDepthNear,(log(dot(forward firstHit-camPos)) - near) / range * 2 - 1,Log depth at near hit,Depth Calculation
_11137,logDepthFar,(log(dot(forward lastHit-camPos)) - near) / range * 2 - 1,Log depth at far hit,Depth Calculation
_13176,moment0Accum,moment 0 accumulator,Moment 0 accumulator,Moment Calculation
_16328,moment1Accum,moment 1 accumulator,Moment 1 accumulator,Moment Calculation
_17193,moment2Accum,moment 2 accumulator,Moment 2 accumulator,Moment Calculation
_10763,momentLoopIdx,moment loop index + 1,Moment loop index,Moment Loop
_20077,moment1Updated,moment1 + contribution,Moment 1 updated,Moment Loop
_22374,moment2Updated,moment2 + contribution,Moment 2 updated,Moment Loop
_24741,moment0Updated,moment0 + contribution,Moment 0 updated,Moment Loop
_17027,momentLoopCounter,moment loop counter,Moment loop counter,Moment Loop
_3840,momentParam,0.25 * float(i+1),Moment parameter,Moment Calculation
_6948,depthInterpolated,lerp(logDepthNear logDepthFar t),Interpolated depth,Moment Calculation
_12308,momentWeight,-log(1.0 - clamp(alpha*t)),Moment weight,Moment Calculation
_22961,depthSquared,depth * depth,Squared depth,Moment Calculation
_14216,depthQuartic,depthSquared * depthSquared,Quartic (4th power) depth,Moment Calculation
